Customer ID,Phone Service,Multiple Lines,Internet Type,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Revenue,Customer Status,Churn Category,Churn Reason
0386-CWRGM,Yes,No,,Credit Card,19.4,967.85,0.0,3152.85,Stayed,,
0133-BMFZO,Yes,No,Fiber Optic,Bank Withdrawal,86.25,181.65,0.0,255.27,Churned,Competitor,Competitor offered higher download speeds
2799-TSLAG,Yes,Yes,,Bank Withdrawal,25.3,1748.55,0.0,3960.5,Stayed,,
9898-KZQDZ,Yes,Yes,Fiber Optic,Credit Card,-1.0,3640.45,0.0,5620.45,Churned,Competitor,Competitor had better devices
3336-JORSO,Yes,Yes,Fiber Optic,Bank Withdrawal,110.45,3655.45,0.0,4294.37,Churned,Dissatisfaction,Product dissatisfaction
9798-DRYDS,Yes,Yes,DSL,Mailed Check,61.95,1070.7,0.0,1879.73,Stayed,,
8696-JKZNU,Yes,Yes,Fiber Optic,Bank Withdrawal,76.25,2841.55,0.0,3838.7,Churned,Other,Don't know
8869-LIHMK,Yes,Yes,Fiber Optic,Bank Withdrawal,115.1,7334.05,0.0,10169.89,Stayed,,
5668-MEISB,Yes,Yes,Fiber Optic,Credit Card,106.1,7657.4,0.0,8118.92,Stayed,,
5148-ORICT,Yes,No,Cable,Mailed Check,74.35,4759.55,0.0,5913.47,Stayed,,
8168-UQWWF,Yes,Yes,Cable,Bank Withdrawal,97.85,1105.4,0.0,1408.67,Churned,Competitor,Competitor offered more data
7446-YPODE,Yes,Yes,DSL,Bank Withdrawal,60.25,662.95,0.0,1314.58,Stayed,,
9786-IJYDL,Yes,Yes,Fiber Optic,Credit Card,113.2,3914.05,0.0,4981.55,Stayed,,
0215-BQKGS,Yes,No,Fiber Optic,Credit Card,84.3,2438.6,0.0,3310.5,Stayed,,
2027-OAQQC,No,,DSL,Bank Withdrawal,49.05,2076.2,20.29,2055.91,Churned,Competitor,Competitor offered more data
7359-SSBJK,Yes,No,DSL,Credit Card,70.2,4481.0,0.0,6344.68,Churned,Price,Lack of affordable download/upload speed
1936-UAFEH,Yes,Yes,Fiber Optic,Credit Card,110.25,7279.35,0.0,10629.11,Stayed,,
2519-LBNQL,Yes,Yes,Fiber Optic,Bank Withdrawal,104.35,6339.45,41.23,7675.22,Stayed,,
1728-BQDMA,Yes,No,DSL,Bank Withdrawal,44.45,82.7,0.0,120.1,Joined,,
8727-JQFHV,Yes,No,,Credit Card,20.75,1123.15,0.0,2812.63,Stayed,,
